ITEM,POPULATION TYPE,OCCURRENCES,POPULATION COUNT,PREVALENCE RATE,PREVALENCE PERCENTAGE
Otitis Media,LIVING,47,67,0.7014925373134329,70.15
Viral Sinusitis (Disorder),LIVING,62,67,0.9253731343283582,92.54
Acute Viral Pharyngitis (Disorder),LIVING,54,67,0.8059701492537313,80.6
Acute Bronchitis (Disorder),LIVING,48,67,0.7164179104477612,71.64
Normal Pregnancy,LIVING,28,67,0.417910447761194,41.79
Hypertension,LIVING,19,67,0.2835820895522388,28.36
Laceration Of Thigh,LIVING,6,67,0.08955223880597014,8.96
Laceration Of Hand,LIVING,7,67,0.1044776119402985,10.45
Preeclampsia,LIVING,7,67,0.1044776119402985,10.45
Cystitis,LIVING,6,67,0.08955223880597014,8.96
Injury Of Tendon Of The Rotator Cuff Of Shoulder,LIVING,7,67,0.1044776119402985,10.45
Polyp Of Colon,LIVING,3,67,0.04477611940298507,4.48
Allergy To Peanuts,LIVING,1,67,0.014925373134328358,1.49
Allergy To Nut,LIVING,2,67,0.029850746268656716,2.99
Allergy To Wheat,LIVING,3,67,0.04477611940298507,4.48
Allergy To Dairy Product,LIVING,1,67,0.014925373134328358,1.49
Dander (Animal) Allergy,LIVING,3,67,0.04477611940298507,4.48
House Dust Mite Allergy,LIVING,4,67,0.05970149253731343,5.97
Allergy To Mould,LIVING,6,67,0.08955223880597014,8.96
Perennial Allergic Rhinitis,LIVING,4,67,0.05970149253731343,5.97
Concussion Injury Of Brain,LIVING,1,67,0.014925373134328358,1.49
Sprain Of Wrist,LIVING,10,67,0.14925373134328357,14.93
Fracture Of Forearm,LIVING,11,67,0.16417910447761194,16.42
Sprain Of Ankle,LIVING,22,67,0.3283582089552239,32.84
Whiplash Injury To Neck,LIVING,12,67,0.1791044776119403,17.91
Sinusitis (Disorder),LIVING,15,67,0.22388059701492538,22.39
Diabetes,LIVING,6,67,0.08955223880597014,8.96
Prediabetes,LIVING,22,67,0.3283582089552239,32.84
Facial Laceration,LIVING,6,67,0.08955223880597014,8.96
Concussion With No Loss Of Consciousness,LIVING,12,67,0.1791044776119403,17.91
Laceration Of Forearm,LIVING,6,67,0.08955223880597014,8.96
Acute Allergic Reaction,LIVING,2,67,0.029850746268656716,2.99
Chronic Sinusitis (Disorder),LIVING,14,67,0.208955223880597,20.9
Fracture Of Clavicle,LIVING,5,67,0.07462686567164178,7.46
Acute Bacterial Sinusitis (Disorder),LIVING,12,67,0.1791044776119403,17.91
Miscarriage In Second Trimester,LIVING,3,67,0.04477611940298507,4.48
Fetus With Chromosomal Abnormality,LIVING,6,67,0.08955223880597014,8.96
Streptococcal Sore Throat (Disorder),LIVING,33,67,0.4925373134328358,49.25
Shellfish Allergy,LIVING,4,67,0.05970149253731343,5.97
Antepartum Eclampsia,LIVING,10,67,0.14925373134328357,14.93
Concussion With Loss Of Consciousness,LIVING,6,67,0.08955223880597014,8.96
Appendicitis,LIVING,6,67,0.08955223880597014,8.96
Rupture Of Appendix,LIVING,3,67,0.04477611940298507,4.48
History Of Appendectomy,LIVING,6,67,0.08955223880597014,8.96
Fracture Of Ankle,LIVING,6,67,0.08955223880597014,8.96
Escherichia Coli Urinary Tract Infection,LIVING,9,67,0.13432835820895522,13.43
Osteoporosis (Disorder),LIVING,2,67,0.029850746268656716,2.99
Pathological Fracture Due To Osteoporosis (Disorder),LIVING,2,67,0.029850746268656716,2.99
Second Degree Burn,LIVING,2,67,0.029850746268656716,2.99
Child Attention Deficit Disorder,LIVING,3,67,0.04477611940298507,4.48
Rupture Of Patellar Tendon,LIVING,5,67,0.07462686567164178,7.46
First Degree Burn,LIVING,6,67,0.08955223880597014,8.96
Cardiac Arrest,LIVING,3,67,0.04477611940298507,4.48
History Of Cardiac Arrest,LIVING,3,67,0.04477611940298507,4.48
Fracture Of Rib,LIVING,3,67,0.04477611940298507,4.48
Impacted Molars,LIVING,1,67,0.014925373134328358,1.49
Neuropathy Due To Type 2 Diabetes Mellitus (Disorder),LIVING,2,67,0.029850746268656716,2.99
Suspected Lung Cancer (Situation),LIVING,0,67,0.0,0.0
Non Small Cell Lung Cancer (Disorder),LIVING,0,67,0.0,0.0
Non Small Cell Carcinoma Of Lung Tnm Stage 4 (Disorder),LIVING,0,67,0.0,0.0
Closed Fracture Of Hip,LIVING,3,67,0.04477611940298507,4.48
Fracture Subluxation Of Wrist,LIVING,7,67,0.1044776119402985,10.45
Miscarriage In First Trimester,LIVING,7,67,0.1044776119402985,10.45
Blighted Ovum,LIVING,4,67,0.05970149253731343,5.97
Coronary Heart Disease,LIVING,4,67,0.05970149253731343,5.97
Injury Of Anterior Cruciate Ligament,LIVING,2,67,0.029850746268656716,2.99
Osteoarthritis Of Knee,LIVING,2,67,0.029850746268656716,2.99
Tubal Pregnancy,LIVING,2,67,0.029850746268656716,2.99
Perennial Allergic Rhinitis With Seasonal Variation,LIVING,2,67,0.029850746268656716,2.99
Allergy To Tree Pollen,LIVING,2,67,0.029850746268656716,2.99
Allergy To Grass Pollen,LIVING,2,67,0.029850746268656716,2.99
Allergy To Bee Venom,LIVING,2,67,0.029850746268656716,2.99
Childhood Asthma,LIVING,1,67,0.014925373134328358,1.49
Stroke,LIVING,2,67,0.029850746268656716,2.99
Laceration Of Foot,LIVING,6,67,0.08955223880597014,8.96
Localized Primary Osteoarthritis Of The Hand,LIVING,0,67,0.0,0.0
Non Small Cell Carcinoma Of Lung Tnm Stage 1 (Disorder),LIVING,0,67,0.0,0.0
Seizure Disorder,LIVING,1,67,0.014925373134328358,1.49
History Of Single Seizure (Situation),LIVING,1,67,0.014925373134328358,1.49
Allergy To Eggs,LIVING,1,67,0.014925373134328358,1.49
Latex Allergy,LIVING,1,67,0.014925373134328358,1.49
Pulmonary Emphysema (Disorder),LIVING,2,67,0.029850746268656716,2.99
Complication Occuring During Pregnancy,LIVING,0,67,0.0,0.0
Congenital Uterine Anomaly,LIVING,1,67,0.014925373134328358,1.49
Chronic Obstructive Bronchitis (Disorder),LIVING,1,67,0.014925373134328358,1.49
Drug Overdose,LIVING,1,67,0.014925373134328358,1.49
Overlapping Malignant Neoplasm Of Colon,LIVING,1,67,0.014925373134328358,1.49
Injury Of Medial Collateral Ligament Of Knee,LIVING,0,67,0.0,0.0
Asthma,LIVING,0,67,0.0,0.0
Osteoarthritis Of Hip,LIVING,1,67,0.014925373134328358,1.49
Bullet Wound,LIVING,0,67,0.0,0.0
Diabetic Renal Disease (Disorder),LIVING,1,67,0.014925373134328358,1.49
Contact Dermatitis,LIVING,2,67,0.029850746268656716,2.99
Penicillin G 375 Mg/Ml Injectable Solution,LIVING,12,67,0.1791044776119403,17.91
Aspirin 81 Mg Oral Tablet,LIVING,23,67,0.34328358208955223,34.33
Acetaminophen 160 Mg Oral Tablet,LIVING,44,67,0.6567164179104478,65.67
Dextromethorphan Hydrobromide 1 Mg/Ml,LIVING,21,67,0.31343283582089554,31.34
Mestranol / Norethynodrel [Enovid],LIVING,13,67,0.19402985074626866,19.4
Acetaminophen 160 Mg,LIVING,47,67,0.7014925373134329,70.15
Norinyl 1+50 28 Day Pack,LIVING,20,67,0.29850746268656714,29.85
Ibuprofen 200 Mg Oral Tablet,LIVING,21,67,0.31343283582089554,31.34
Nitrofurantoin 5 Mg/Ml [Furadantin],LIVING,12,67,0.1791044776119403,17.91
Phenazopyridine Hydrochloride 100 Mg [Pyridium],LIVING,12,67,0.1791044776119403,17.91
Ortho Tri Cyclen 28 Day Pack,LIVING,18,67,0.26865671641791045,26.87
Amoxicillin 250 Mg / Clavulanate 125 Mg [Augmentin],LIVING,42,67,0.6268656716417911,62.69
Fexofenadine Hydrochloride 30 Mg Oral Tablet,LIVING,2,67,0.029850746268656716,2.99
0.3 Ml Epinephrine 0.5 Mg/Ml Auto Injector,LIVING,9,67,0.13432835820895522,13.43
Cefuroxime 250 Mg Oral Tablet,LIVING,7,67,0.1044776119402985,10.45
Penicillin V Potassium 250 Mg,LIVING,24,67,0.3582089552238806,35.82
Acetaminophen 325 Mg Oral Tablet,LIVING,27,67,0.40298507462686567,40.3
24 Hr Metformin Hydrochloride 500 Mg Extended Release Oral Tablet,LIVING,4,67,0.05970149253731343,5.97
Naproxen Sodium 220 Mg Oral Tablet,LIVING,18,67,0.26865671641791045,26.87
Amoxicillin 200 Mg Oral Tablet,LIVING,18,67,0.26865671641791045,26.87
Prednisone 5 Mg Oral Tablet,LIVING,2,67,0.029850746268656716,2.99
Ampicillin 100 Mg/Ml Injectable Solution,LIVING,3,67,0.04477611940298507,4.48
Acetaminophen 325 Mg / Hydrocodone Bitartrate 7.5 Mg Oral Tablet,LIVING,6,67,0.08955223880597014,8.96
Chlorpheniramine 2 Mg Chewable Tablet,LIVING,1,67,0.014925373134328358,1.49
Penicillin V Potassium 500 Mg,LIVING,14,67,0.208955223880597,20.9
1 Ml Depo Provera 150 Mg/Ml Injection,LIVING,11,67,0.16417910447761194,16.42
Mirena 52 Mg Intrauterine System,LIVING,12,67,0.1791044776119403,17.91
Jolivette 28 Day Pack,LIVING,10,67,0.14925373134328357,14.93
Alendronic Acid 10 Mg [Fosamax],LIVING,2,67,0.029850746268656716,2.99
Doxycycline Monohydrate 50 Mg Oral Tablet,LIVING,7,67,0.1044776119402985,10.45
Ibuprofen 100 Mg Oral Tablet,LIVING,18,67,0.26865671641791045,26.87
Meperidine Hydrochloride 50 Mg Oral Tablet,LIVING,6,67,0.08955223880597014,8.96
Acetaminophen 325 Mg / Oxycodone Hydrochloride 5 Mg Oral Tablet,LIVING,4,67,0.05970149253731343,5.97
Epinephrine,LIVING,3,67,0.04477611940298507,4.48
Amiodarone,LIVING,3,67,0.04477611940298507,4.48
Atropine,LIVING,3,67,0.04477611940298507,4.48
Acetaminophen 300 Mg / Hydrocodone Bitartrate 5 Mg [Vicodin],LIVING,1,67,0.014925373134328358,1.49
Implanon 68 Mg Drug Implant,LIVING,6,67,0.08955223880597014,8.96
0.65 Ml Depo Subq Provera 160 Mg/Ml Prefilled Syringe,LIVING,3,67,0.04477611940298507,4.48
Camila 28 Day Pack,LIVING,10,67,0.14925373134328357,14.93
Nuvaring 0.12/0.015 Mg Per 24hr 21 Day Vaginal Ring,LIVING,7,67,0.1044776119402985,10.45
Kyleena 19.5 Mg Intrauterine System,LIVING,2,67,0.029850746268656716,2.99
Xulane 150/35 Mcg/Day Weekly Transdermal System,LIVING,3,67,0.04477611940298507,4.48
Cisplatin 50 Mg Injection,LIVING,0,67,0.0,0.0
Paclitaxel 100 Mg Injection,LIVING,0,67,0.0,0.0
Nitrofurantoin Macrocrystals 50 Mg [Macrodantin],LIVING,2,67,0.029850746268656716,2.99
Estrostep Fe 28 Day Pack,LIVING,7,67,0.1044776119402985,10.45
Errin 28 Day Pack,LIVING,11,67,0.16417910447761194,16.42
Nexplanon 68 Mg Drug Implant,LIVING,4,67,0.05970149253731343,5.97
Nitroglycerin,LIVING,4,67,0.05970149253731343,5.97
Simvastatin,LIVING,4,67,0.05970149253731343,5.97
Amlodipine,LIVING,4,67,0.05970149253731343,5.97
Clopidogrel,LIVING,5,67,0.07462686567164178,7.46
Levonorgestrel 0.00354 Mg/Hr [Norplant],LIVING,9,67,0.13432835820895522,13.43
Naproxen Sodium 220 Mg [Aleve],LIVING,3,67,0.04477611940298507,4.48
Amoxicillin 500 Mg Oral Tablet,LIVING,2,67,0.029850746268656716,2.99
Trinessa 28 Day Pack,LIVING,4,67,0.05970149253731343,5.97
Cefaclor 250 Mg Oral Capsule,LIVING,2,67,0.029850746268656716,2.99
Yaz 28 Day Pack,LIVING,2,67,0.029850746268656716,2.99
Seasonique 91 Day Pack,LIVING,4,67,0.05970149253731343,5.97
Loratadine 5 Mg Chewable Tablet,LIVING,2,67,0.029850746268656716,2.99
120 Actuat Fluticasone Propionate 0.044 Mg/Actuat Metered Dose Inhaler,LIVING,1,67,0.014925373134328358,1.49
200 Actuat Albuterol 0.09 Mg/Actuat Metered Dose Inhaler,LIVING,1,67,0.014925373134328358,1.49
Alteplase,LIVING,2,67,0.029850746268656716,2.99
Carbamazepine[Tegretol],LIVING,1,67,0.014925373134328358,1.49
Diazepam [Valium],LIVING,1,67,0.014925373134328358,1.49
Astemizole 10 Mg Oral Tablet,LIVING,1,67,0.014925373134328358,1.49
Diphenhydramine Hydrochloride 25 Mg Oral Tablet,LIVING,2,67,0.029850746268656716,2.99
Fluticasone Propionate 0.25 Mg/Actuat / Salmeterol 0.05 Mg/Actuat [Advair],LIVING,3,67,0.04477611940298507,4.48
Leucovorin 100 Mg Injection,LIVING,1,67,0.014925373134328358,1.49
Oxaliplatin 5 Mg/Ml [Eloxatin],LIVING,1,67,0.014925373134328358,1.49
Cetirizine Hydrochloride 5 Mg Oral Tablet,LIVING,2,67,0.029850746268656716,2.99
Levora 0.15/30 28 Day Pack,LIVING,2,67,0.029850746268656716,2.99
3 Ml Liraglutide 6 Mg/Ml Pen Injector,LIVING,1,67,0.014925373134328358,1.49
Insulin Human Isophane 70 Unt/Ml / Regular Insulin Human 30 Unt/Ml Injectable Suspension [Humulin],LIVING,1,67,0.014925373134328358,1.49
Doxycycline Monohydrate 100 Mg Oral Tablet,LIVING,1,67,0.014925373134328358,1.49
Hydrocortisone 10 Mg/Ml Topical Cream,LIVING,2,67,0.029850746268656716,2.99
Loratadine 10 Mg Oral Tablet,LIVING,2,67,0.029850746268656716,2.99
